LUGAR,MUNICIPIO,CALLE,NÚMERO,NÚMERO INTERIOR,HORARIO,TIPO,ENTIDAD DE GOBIERNO,LATITUD,LONGITUD,INFORMACION COMPLEMENTARIA,FECHA ACTUALIZACIÓN
Módulo externo de recaudación (Caja UdG),Guadalajara,"Avenida Juarez ",976,"Piso-1 ",De lunes a viernes de 8:30 a 15:30,,,20.6748121,-103.35805649999998," Guadalajara Avenida Juarez 976 Piso-1 44170 (33) 3134-2299 De lunes a viernes de 8:30 a 15:30 20.6748121-103.35805649999998 ",2013-04-23T20:55:44Z
"SEMADET | Delegación 08, Costa Sur",Autlán de Navarro,Álvaro Obregón,7,"2do Piso\, Int. 1 y 2",Lunes a Viernes de 09:00 a 17:00 hrs.,Oficina de Gobierno,Secretaría de Medio Ambiente y Desarrollo Territorial,19.7709694,-104.3665778," Autlán de Navarro Álvaro Obregón 7 2do Piso, Int. 1 y 2 Centro 48900 (317) 382.3444 (317) 382.3444 Lunes a Viernes de 09:00 a 17:00 hrs. Lic. Aarón Aguilar Ruiz aaron.aguilar@jalisco.gob.mx 19.7709694-104.3665778 Secretaría de Medio Ambiente y Desarrollo Territorial ",2014-02-21T00:13:03Z
"SEMADET | Delegación 05, Sur Este",Tamazula de Gordiano,Portal Hidalgo,39,4,Lunes a Viernes de 09:00 a 17:00 hrs.,Oficina de Gobierno,Secretaría de Medio Ambiente y Desarrollo Territorial,19.6753722,-103.2539028," Tamazula de Gordiano Portal Hidalgo 39 4 Centro 49654 (358) 416.2899 (358) 416.2899 Lunes a Viernes de 09:00 a 17:00 hrs. Lic. Marco Antonio Luna Barajas marco.luna@jalisco.gob.mx 19.6753722-103.2539028 Secretaría de Medio Ambiente y Desarrollo Territorial ",2014-02-21T00:12:24Z
Coordinación General de Delegaciones Regionales,Guadalajara,Calle 14 entre las calles 3 y 5 Zona Industrial,2550,,Lunes a Viernes de 09:00 a 21:00 horas,,,31.8515607,-116.5728226," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2550 44940 3837-6000 extensiÃ³n 16047 Lunes a Viernes de 09:00 a 21:00 horas 31.8515607-116.5728226 ",2013-04-23T20:55:44Z
Instituto de Formación Profesional,Guadalajara,Mercedes Celis esquina Avenida Rí­o Nilo,s/n,,Lunes a Viernes 09:00 a 21:00 horas,,,20.6596492,-103.34962510000003," Guadalajara Mercedes Celis esquina Avenida Rí­o Nilo s/n 44820 3030-6120 Lunes a Viernes 09:00 a 21:00 horas 20.6596492-103.34962510000003 ",2013-04-23T20:55:44Z
Agencia del M. P. adscrita al Puesto de Socorros &quot;Leonardo Oliva&quot;,Guadalajara,Avenida Mandarina,1614,,"Las 24 horas\, los 365 dÃ­as del aÃ±o.",Hospital,,20.6525866,-103.38244459999999," Guadalajara Avenida Mandarina 1614 3812-6201. Tel. 3837-6000 ExtensiÃ³n 12283 Las 24 horas, los 365 dÃ­as del aÃ±o. 20.6525866-103.38244459999999 ",2013-07-03T18:03:48Z
Dirección de Artes Visuales de la Sria. de Cultura,Guadalajara,"Avenida Juárez ",638,,Lunes a viernes de 9:00 a 15:00 horas,,,20.6749486,-103.35395189999997," Guadalajara Avenida Juárez 638 44100 39-42-12-00 ext. 20380, 21368, 20382 y 21385 39-42-12-00 ext. 20380 Lunes a viernes de 9:00 a 15:00 horas 20.6749486-103.35395189999997 ",2013-04-23T20:55:44Z
Coordinación de Grupos Artí­sticos Institucionales de la Secretaría de Cultura,Guadalajara,"Avenida Juárez ",638,,lunes a viernes de 9:00 a 17:00 horas,,,20.6749486,-103.35395189999997," Guadalajara Avenida Juárez 638 44100 39-42-12-00 ext. 20381 30-30-13-76 lunes a viernes de 9:00 a 17:00 horas 20.6749486-103.35395189999997 ",2015-03-06T19:11:09Z
Dirección de Museos y Exposiciones de la Sria. de Cultura,Guadalajara,"Cuitláhuac ",305,,lunes a viernes de 9:00 a 17:00 horas,,,20.6661545,-103.34274189999996," Guadalajara Cuitláhuac 305 44450 39-42-12-00 ext. 21413, 21420 39-42-12-00 ext. 21421 lunes a viernes de 9:00 a 17:00 horas 20.6661545-103.34274189999996 ",2013-04-23T20:55:44Z
Dirección Escolar de la Sria. de Cultura,Guadalajara,Cabañas,8,,lunes a viernes de 9:00 a 20:00 horas y sÃ¡bado de 9:00 a 14:00 horas,,,20.633986,-103.3042433," Guadalajara Cabañas 8 44360 39-42-12-00 ext. 31641 y 31060 39-42-12-00 ext. 31037 lunes a viernes de 9:00 a 20:00 horas y sÃ¡bado de 9:00 a 14:00 horas 20.633986-103.3042433 ",2013-04-23T20:55:44Z
Dirección de la Red Estatal de Bibliotecas de la Sria. de Cultura,Guadalajara,Jesús Garcí­a,720,,lunes a viernes de 9:00 a 16:00 horas,,,,," Guadalajara Jesús Garcí­a 720 44260 30-30-97-97 Ã³ 01-800-22-42-546 30-30-97-97 lunes a viernes de 9:00 a 16:00 horas ",2013-04-23T20:55:44Z
Dirección General de Vinculación Cultural de la Sria. de Cultura de Jalisco,Guadalajara,"Avenida Juárez ",612,CallejÃ³n del Carmen,lunes a viernes de 9:00 a 17:00 horas,,,20.6749486,-103.35395189999997," Guadalajara Avenida Juárez 612 CallejÃ³n del Carmen 44100 39-42-12-00 ext. 21364, 21380 39-42-12-00 ext. 21359 lunes a viernes de 9:00 a 17:00 horas 20.6749486-103.35395189999997 ",2013-04-23T20:55:44Z
Agencia del Ministerio Público para la Atención a Delitos Violentos,Guadalajara,Calle 14 entre las calles 3 y 5 Zona Industrial,2567,,"Las 24 horas\, los 365 dÃ­as del aÃ±o",,,31.8515607,-116.57282220000002," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2567 44940 3837-6000 extensiÃ³n 16043, directo 3837-6043 Las 24 horas, los 365 dÃ­as del aÃ±o 31.8515607-116.57282220000002 ",2013-04-23T20:55:46Z
"Oficialí­a de Partes de la Subprocuradurí­a &quot;C&quot; ",Guadalajara,Calle 14 entre las calles 3 y 5 Zona Industrial,2550,,Lunes a Viernes de 08:00 a 21:00 horas,,,31.8515607,-116.5728226," Guadalajara Calle 14 entre las calles 3 y 5 Zona Industrial 2550 44940 3837-6000 extensiÃ³n 16069, directo 3837-6052. Lunes a Viernes de 08:00 a 21:00 horas 31.8515607-116.5728226 ",2013-04-23T20:55:46Z
Agencia 8 Operativa de Menores y Sexuales,Guadalajara,Calzada Independencia Norte,778,,"Las 24 horas\, los 365 d­&iacute;as del año.",,,20.7252877,-103.3153312," Guadalajara Calzada Independencia Norte 778 44290 3837-6000 extensi&amp;oacute;n 12640 Las 24 horas, los 365 d­&amp;iacute;as del año. 20.7252877-103.3153312 ",2015-02-18T18:11:36Z
Agencia 7 Operativa de Violencia Intrafamiliar,Guadalajara,Calzada Independencia Norte,778,,"Las 24 horas\, los 365 días del año.",,,20.7252877,-103.3153312," Guadalajara Calzada Independencia Norte 778 44290 3837-6000 Extensión 12628 Las 24 horas, los 365 días del año. 20.7252877-103.3153312 ",2013-08-07T19:22:21Z
Agencia del M. P. Especializada en Género,Guadalajara,"Miguel Blanco\, Jalisco",883,,De Lunes a Viernes de 09:00 a 17:00 horas,,,20.6718852,-103.34774149999998," Guadalajara Miguel Blanco, Jalisco 883 De Lunes a Viernes de 09:00 a 17:00 horas 20.6718852-103.34774149999998 ",2013-04-23T20:55:46Z
Centro Integral de Comunicaciones,Tlajomulco de Zúñiga,Avenida Paseo de la Cima #434,,,24 horas de los 365 dÃ­as del aÃ±o.,,,20.4736111,-103.44305559999998," Tlajomulco de Zúñiga Avenida Paseo de la Cima #434 (33) 31344982 24 horas de los 365 dÃ­as del aÃ±o. 20.4736111-103.44305559999998 ",2013-04-23T20:55:46Z
Subsecretaria de Administración,Guadalajara,Av. Prolongacion Fray Antonio Alcalde,1221,,9:00 A 17:00 HRS.,Oficina de Gobierno,"Secretaría de Planeación\, Administración y Finanzas,Subsecretaría de Administración,Secretaría de Planeación\, Administración y Finanzas",20.69632839256577,-103.34916114807129," Guadalajara Av. Prolongacion Fray Antonio Alcalde 1221 44270 3818-2800 EXT. 22868 9:00 A 17:00 HRS. 20.69632839256577-103.34916114807129 Secretaría de Planeación, Administración y Finanzas Subsecretaría de Administración ",2015-02-23T15:59:35Z
"Coordinación de Organización Vecinal, de la Dirección General de Prevención del Delito",Guadalajara,"Avenida 16 de Septiembre\, Jalisco.",,,Lunes a Viernes: 09:00 a 17:00 horas,,,20.6666837,-103.3483784," Guadalajara Avenida 16 de Septiembre, Jalisco. 44100 (33) 3668 7900 ext. 18010 Lunes a Viernes: 09:00 a 17:00 horas 20.6666837-103.3483784 ",2013-04-23T20:55:46Z
Oficina Recaudadora Foránea #132,Cajititlan,Manuel Villagrana,1,A,"Lunes a viernes de 8:30 a 14:30 hrs. ","Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.431366212824052,-103.31063389778137," Cajititlan Manuel Villagrana 1 A Centro 45670 (33) 31616562 Lunes a viernes de 8:30 a 14:30 hrs. C. Santiago Cervantes de la Cruz 20.431366212824052-103.31063389778137 Subsecretaría de Finanzas ",2013-06-26T16:05:50Z
Centro de Validacion Vehicular en Colotlan,Colotlán,"Hidalgo ",28,entre Juarez y Ramon Corona,Martes de 9:00 a 11:00 hrs.,,,22.1128471,-103.26839940000002," Colotlán Hidalgo 28 entre Juarez y Ramon Corona (499) 9920184 Martes de 9:00 a 11:00 hrs. C. Christian Gallegos Payan coorcolot@jalisco.gob.mx 22.1128471-103.26839940000002 ",2013-04-23T20:55:47Z
Centro de Validación Vehicular en Tonala,Tonalá,Alberca,S/N,"A espaldas del Modulo de Seguridad de la PolicÃ­a ",Lunes a viernes,,,20.6444006,-103.23014539999997," Tonalá Alberca S/N A espaldas del Modulo de Seguridad de la PolicÃ­a (33) 3860-0261, 3860-0263 Lunes a viernes Enc. Fabricio López Delgado 20.6444006-103.23014539999997 ",2015-03-12T20:07:55Z
Centro de Validacion Vehicular en Zapopan,Zapopan,Avenida Juan Gil Preciado,6735,(Carretera a Tesistan),Lunes a viernes,,,20.7445342,-103.41212239999999," Zapopan Avenida Juan Gil Preciado 6735 (Carretera a Tesistan) (33) 36249257, 36249205 Lunes a viernes Enc. José Luis Jiménez Ponce recmet135@jalisco.gob.mx 20.7445342-103.41212239999999 ",2015-01-09T17:26:13Z
Centro de Validacion Vehicular en Autlan de Navarro,Autlán de Navarro,"Avenida Carlos Santana ",231,4,Martes de 9:00 a 14:00 hrs.,,,19.7763176,-104.36016610000001," Autlán de Navarro Avenida Carlos Santana 231 4 (317) 3821860 Martes de 9:00 a 14:00 hrs. C. Jorge Arturo Guzman Velazco coordautl@jalisco.gob.mx 19.7763176-104.36016610000001 ",2013-04-23T20:55:47Z
Centro de Validacion Vehicular en Lagos de Moreno,Lagos de Moreno,"Maria Greber ",S/N,"Col. Alvarez del Castillo\, entre Antonio GÃ³mez A",Jueves de 8:00 A 14:00 hrs.,,,21.3579529,-101.93036039999998," Lagos de Moreno Maria Greber S/N Col. Alvarez del Castillo, entre Antonio GÃ³mez A (474) 4032066, 4032067 Jueves de 8:00 A 14:00 hrs. C. Wenceslao Cedillo Rodriguez recfor50@jalisco.gob.mx 21.3579529-101.93036039999998 ",2013-04-23T20:55:47Z
Oficina Recaudadora Foránea #036,Guachinango,Guerrero,3,A,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.575323,-104.381597," Guachinango Guerrero 3 A 46800 (388) 7368291 Lunes a viernes de 8:30 a 14:30 hrs. C. J. Jesús Palomera Ãngel 20.575323-104.381597 Subsecretaría de Finanzas ",2013-06-24T15:46:31Z
Oficina Recaudadora Foránea #048,Juchitlán,Degollado,58,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.083684,-104.096824," Juchitlán Degollado 58 48600 (349) 3740380, 3740483 Lunes a viernes de 8:30 a 14:30 hrs. C. Carlos Nuñez Pérez 20.083684-104.096824 Subsecretaría de Finanzas ",2013-06-24T15:58:32Z
Oficina Recaudadora Foránea #035,Gómez Farias,Cuauhtemoc,9,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",19.793765,-103.475177," Gómez Farias Cuauhtemoc 9 Centro 49120 (341) 4330020 Lunes a viernes de 8:30 a 14:30 hrs. C. Fermín Flores Longinos 19.793765-103.475177 Subsecretaría de Finanzas ",2013-06-26T16:07:51Z
Oficina Recaudadora Foránea #047,Juanacatlán,Francisco Rojas,15,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.507146,-103.169456," Juanacatlán Francisco Rojas 15 Centro 45880 (33) 37320075 Lunes a viernes de 8:30 a 14:30 hrs. C. Victoria Orozco Iñiguez 20.507146-103.169456 Subsecretaría de Finanzas ",2013-06-26T15:36:41Z
Oficina Recaudadora Foránea #034,Etzatlán,Mercado Municipal,,Local 11 y 12,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.764105,-104.079999," Etzatlán Mercado Municipal Local 11 y 12 46500 (386) 7530183 Lunes a viernes de 8:30 a 14:30 hrs. C. Alfonso Iglesias López 20.764105-104.079999 Subsecretaría de Finanzas ",2013-06-24T15:44:32Z
Oficina Recaudadora Foránea #046,Jocotepec,Matamoros Sur,76,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.285088,-103.428418," Jocotepec Matamoros Sur 76 Centro 45800 (387) 7630029 Lunes a viernes de 8:30 a 14:30 hrs. C. José Carlos Montecino Vázquez 20.285088-103.428418 Subsecretaría de Finanzas ",2013-06-26T15:36:07Z
Oficina Recaudadora Foránea #033,Encarnación de Dí­az,Ángel Anguiano,159,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.526529,-102.240245," Encarnación de Dí­az Ángel Anguiano 159 47270 (475) 9532023 Lunes a viernes de 8:30 a 14:30 hrs. C. Alejandro Paredes López 21.526529-102.240245 Subsecretaría de Finanzas ",2015-06-03T13:23:53Z
Oficina Recaudadora Foránea #045,Jilotlán de los Dolores,"Juárez ",3,esq. Zapata,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",19.370846,-103.01977," Jilotlán de los Dolores Juárez 3 esq. Zapata Centro 49950 (424) 5740180 Lunes a viernes de 8:30 a 14:30 hrs. C. Juan Carlos Mendoza Mendoza 19.370846-103.01977 Subsecretaría de Finanzas ",2015-06-02T21:42:09Z
Oficina Recaudadora Foránea #124,El Salto,Independencia,28,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.518589,-103.178937," El Salto Independencia 28 Centro 45680 (33) 37320398 Lunes a viernes de 8:30 a 14:30 hrs. Lic. Jaime Antonio Loza Figueroa 20.518589-103.178937 Subsecretaría de Finanzas ",2013-06-26T16:05:03Z
Oficina Recaudadora Foránea #044,Jesus Mar,Orozco Romero,51,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.607648,-102.225007," Jesus Mar Orozco Romero 51 47950 (348) 7040109 Lunes a viernes de 8:30 a 14:30 hrs. C. Ma. del Carmen Lozano Ángel 20.607648-102.225007 Subsecretaría de Finanzas ",2015-06-03T13:44:43Z
Oficina Recaudadora Foránea #123,El Limón,Rodrigo Camacho,1,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",19.825238,-104.155208," El Limón Rodrigo Camacho 1 48700 (321) 3730430 Lunes a viernes de 8:30 a 14:30 hrs. C. Angélica Piedad Guerrero Sandoval 19.825238-104.155208 Subsecretaría de Finanzas ",2013-06-21T16:47:43Z
Oficina Recaudadora Foránea #043,Jamay,"Allende ",190,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.29101,-102.709851," Jamay Allende 190 47900 (392) 9241123 Lunes a viernes de 8:30 a 14:30 hrs. C.P. Gilberto Fregoso Dueñas 20.29101-102.709851 Subsecretaría de Finanzas ",2015-06-03T13:44:26Z
Oficina Recaudadora Foránea #105,Unión de Tula,"Juárez Poniente ",56,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",19.956892,-104.267689," Unión de Tula Juárez Poniente 56 48000 (316) 3710152 Lunes a viernes de 8:30 a 14:30 hrs. C. Rosa Margarita Cuevas Pelayo (Encargada) 19.956892-104.267689 Subsecretaría de Finanzas ",2015-06-03T14:04:22Z
Oficina Recaudadora Foránea #074,San Martí­n Hidalgo,Obregón,32,B,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.434925,-103.930138," San Martí­n Hidalgo Obregón 32 B 46770 (385) 7551162 Lunes a viernes de 8:30 a 14:30 hrs. C. Crescencio Rene Camarena Ramírez 20.434925-103.930138 Subsecretaría de Finanzas ",2013-06-24T16:16:55Z
Oficina Recaudadora Foránea #104,Unión de San Antonio,Francisco Cabral,60,B,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.12872,-102.004881," Unión de San Antonio Francisco Cabral 60 B 47570 (395) 7250001 Lunes a viernes de 8:30 a 14:30 hrs. C. José Raúl López López 21.12872-102.004881 Subsecretaría de Finanzas ",2013-06-24T16:35:11Z
Oficina Recaudadora Foránea #073,San Marcos,Colón,12,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.300077,-103.55479," San Marcos Colón 12 46540 (386) 7570392 Lunes a viernes de 8:30 a 14:30 hrs. C. Pablo Rico Ãlvarez 20.300077-103.55479 Subsecretaría de Finanzas ",2013-06-24T16:16:17Z
Oficina Recaudadora Foránea #076,San Sebastián del Oeste,Cuauhtemoc,5,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.761276,-104.852571," San Sebastián del Oeste Cuauhtemoc 5 46990 (322) 2972900 Lunes a viernes de 8:30 a 14:30 hrs. C. Carmen Luz López Aguirre (Encargada) 20.761276-104.852571 Subsecretaría de Finanzas ",2013-06-24T16:18:25Z
Oficina Recaudadora Foránea #072,San Julián,Narcizo Elizondo,22 Norte,Norte,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.010496,-102.18037," San Julián Narcizo Elizondo 22 Norte Norte 47170 (347) 7180261 Lunes a viernes de 8:30 a 14:30 hrs. C. Marisela Reynoso Luna 21.010496-102.18037 Subsecretaría de Finanzas ",2015-06-03T13:26:04Z
Oficina Recaudadora Foránea #075,San Miguel el Alto,Victoria,17,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.030351,-102.400689," San Miguel el Alto Victoria 17 47140 (347) 7882129 Lunes a viernes de 8:30 a 14:30 hrs. C. Maritza Rocío Casillas García 21.030351-102.400689 Subsecretaría de Finanzas ",2013-06-24T16:17:35Z
Oficina Recaudadora Foránea #128,San Juanito de Escobedo,Cuahutémoc,7,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.799448,-104.001791," San Juanito de Escobedo Cuahutémoc 7 46560 (386) 7540136 Lunes a viernes de 8:30 a 14:30 hrs. C. Héctor Ramiro Robles Venegas 20.799448-104.001791 Subsecretaría de Finanzas ",2013-06-24T16:44:02Z
Oficina Recaudadora Foránea #134,San Martin de Bolaños,Hidalgo,11,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.68228,-103.812725," San Martin de Bolaños Hidalgo 11 46350 (437) 9525361 Lunes a viernes de 8:30 a 14:30 hrs. C. Norma Angélica Salinas Estrada 21.68228-103.812725 Subsecretaría de Finanzas ",2013-06-24T16:46:38Z
Oficina Recaudadora Foránea #071,San Juan de los Lagos,Callejón del Recuerdo,2,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",21.245975,-102.333323," San Juan de los Lagos Callejón del Recuerdo 2 47700 (395) 7850732, 7851634 Lunes a viernes de 8:30 a 14:30 hrs. C. Juan Manuel Castellanos Navarro 21.245975-102.333323 Subsecretaría de Finanzas ",2013-06-24T16:14:18Z
Oficina Recaudadora Foránea #090,Tequila,Juárez,2,local 4,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.883192,-103.839501," Tequila Juárez 2 local 4 Centro 46400 (374) 7420039 Lunes a viernes de 8:30 a 14:30 hrs. C. Luis Arturo Avalos Romo 20.883192-103.839501 Subsecretaría de Finanzas ",2015-06-02T21:36:24Z
Oficina Recaudadora Foránea #020,San Gabriel,Manuel C. Michel,13 A,,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",19.748576,-103.766651," San Gabriel Manuel C. Michel 13 A Centro 49700 (343) 4270127 Lunes a viernes de 8:30 a 14:30 hrs. C. Isidro Martín García Soto 19.748576-103.766651 Subsecretaría de Finanzas ",2015-06-03T13:52:43Z
Oficina Recaudadora Foránea #089,Tepatitlán de Morelos,Adolfo Lópes Mateos,240,C-7,Lunes a viernes de 8:30 a 14:30 hrs.,"Recaudadora,Oficina de Gobierno","Subsecretaría de Finanzas,Secretaría de Planeación\, Administración y Finanzas",20.820514,-102.773473," Tepatitlán de Morelos Adolfo Lópes Mateos 240 C-7 47600 (378) 7812156, 7820707 Lunes a viernes de 8:30 a 14:30 hrs. C. Isaac González Cuevas 20.820514-102.773473 Subsecretaría de Finanzas ",2015-06-03T13:26:51Z
